X,M
1668,9547
1669,9508
1670,9469
1671,9430
1672,9391
1673,9352
1674,9313
1675,9274
1676,9234
1677,9195
1678,9156
1679,9116
1680,9077
1681,9038
1682,8998
1683,8959
1684,8919
1685,8880
1686,8840
1687,8800
1688,8761
1689,8721
1690,8681
1691,8641
1692,8602
1693,8562
1694,8522
1695,8482
1696,8442
1697,8402
1698,8362
1699,8322
1700,8282
1701,8241
1702,8201
1703,8161
1704,8121
1705,8080
1706,8040
1707,8000
1708,7959
1709,7919
1710,7879
1711,7838
1712,7797
1713,7757
1714,7716
1715,7676
1716,7635
1717,7594
1718,7554
1719,7513
1720,7472
1721,7431
1722,7390
1723,7350
1724,7309
1725,7268
1726,7227
1727,7186
1728,7145
1729,7104
1730,7062
1731,7021
1732,6980
1733,6939
1734,6898
1735,6856
1736,6815
1737,6774
1738,6732
1739,6691
1740,6650
1741,6608
1742,6567
1743,6525
1744,6484
1745,6442
1746,6401
1747,6359
1748,6317
1749,6276
1750,6234
1751,6192
1752,6150
1753,6109
1754,6067
1755,6025
1756,5983
1757,5941
1758,5899
1759,5857
1760,5815
1761,5773
1762,5731
1763,5689
1764,5647
1765,5605
1766,5563
1767,5521
1768,5479
1769,5436
1770,5394
1771,5352
1772,5309
1773,5267
1774,5225
1775,5182
1776,5140
1777,5098
1778,5055
1779,5013
1780,4970
1781,4928
1782,4885
1783,4843
1784,4800
1785,4757
1786,4715
1787,4672
1788,4629
1789,4587
1790,4544
1791,4501
1792,4458
1793,4416
1794,4373
1795,4330
1796,4287
1797,4244
1798,4201
1799,4158
1800,4115
1801,4072
1802,4029
1803,3986
1804,3943
1805,3900
1806,3857
1807,3814
1808,3771
1809,3728
1810,3685
1811,3641
1812,3598
1813,3555
1814,3512
1815,3468
1816,3425
1817,3382
1818,3339
1819,3295
1820,3252
1821,3209
1822,3165
1823,3122
1824,3078
1825,3035
1826,2991
1827,2948
1828,2904
1829,2861
1830,2817
1831,2774
1832,2730
1833,2687
1834,2643
1835,2599
1836,2556
1837,2512
1838,2468
1839,2425
1840,2381
1841,2337
1842,2294
1843,2250
1844,2206
1845,2162
1846,2119
1847,2075
1848,2031
1849,1987
1850,1943
1851,1899
1852,1856
1853,1812
1854,1768
1855,1724
1856,1680
1857,1636
1858,1592
1859,1548
1860,1504
1861,1460
1862,1416
1863,1372
1864,1328
1865,1284
1866,1240
1867,1196
1868,1152
1869,1108
1870,1064
1871,1020
1872,975
1873,931
1874,887
1875,843
1876,799
1877,755
1878,711
1879,666
1880,622
1881,578
1882,534
1883,490
1884,445
1885,401
1886,357
1887,313
1888,268
1889,224
1890,180
1891,135
1892,91
1893,47
1894,3
1895,-42
1896,-86
1897,-130
1898,-175
1899,-219
1900,-263
1901,-308
1902,-352
1903,-397
1904,-441
1905,-485
1906,-530
1907,-574
1908,-618
1909,-663
1910,-707
1911,-752
1912,-796
1913,-840
1914,-885
1915,-929
1916,-974
1917,-1018
1918,-1063
1919,-1107
1920,-1151
1921,-1196
1922,-1240
1923,-1285
1924,-1329
1925,-1374
1926,-1418
1927,-1463
1928,-1507
1929,-1551
1930,-1596
1931,-1640
1932,-1685
1933,-1729
1934,-1774
1935,-1818
1936,-1863
1937,-1907
1938,-1952
1939,-1996
1940,-2040
1941,-2085
1942,-2129
1943,-2174
1944,-2218
1945,-2263
1946,-2307
1947,-2352
1948,-2396
1949,-2441
1950,-2485
1951,-2529
1952,-2574
1953,-2618
1954,-2663
1955,-2707
1956,-2752
1957,-2796
1958,-2840
1959,-2885
1960,-2929
1961,-2974
1962,-3018
1963,-3063
1964,-3107
1965,-3151
1966,-3196
1967,-3240
1968,-3284
1969,-3329
1970,-3373
1971,-3418
1972,-3462
1973,-3506
1974,-3551
1975,-3595
1976,-3639
1977,-3684
1978,-3728
1979,-3772
1980,-3816
1981,-3861
1982,-3905
1983,-3949
1984,-3994
1985,-4038
1986,-4082
1987,-4126
1988,-4171
1989,-4215
1990,-4259
1991,-4303
1992,-4347
1993,-4392
1994,-4436
1995,-4480
1996,-4524
1997,-4568
1998,-4612
1999,-4657
2000,-4701
2001,-4745
2002,-4789
2003,-4833
2004,-4877
2005,-4921
2006,-4965
2007,-5009
2008,-5053
2009,-5097
2010,-5141
2011,-5185
2012,-5229
2013,-5273
2014,-5317
2015,-5361
2016,-5405
2017,-5449
2018,-5493
2019,-5537
2020,-5581
2021,-5624
2022,-5668
2023,-5712
2024,-5756
2025,-5800
2026,-5843
2027,-5887
2028,-5931
2029,-5975
2030,-6018
2031,-6062
2032,-6106
2033,-6149
2034,-6193
2035,-6237
2036,-6280
2037,-6324
2038,-6367
2039,-6411
2040,-6455
2041,-6498
2042,-6542
2043,-6585
2044,-6629
2045,-6672
2046,-6715
2047,-6759
2048,-6802
2049,-6846
2050,-6889
2051,-6932
2052,-6976
2053,-7019
2054,-7062
2055,-7105
2056,-7149
2057,-7192
2058,-7235
2059,-7278
2060,-7321
2061,-7365
2062,-7408
2063,-7451
2064,-7494
2065,-7537
2066,-7580
2067,-7623
2068,-7666
2069,-7709
2070,-7752
2071,-7795
2072,-7837
2073,-7880
2074,-7923
2075,-7966
2076,-8009
2077,-8052
2078,-8094
2079,-8137
2080,-8180
2081,-8222
2082,-8265
2083,-8308
2084,-8350
2085,-8393
2086,-8435
2087,-8478
2088,-8520
2089,-8563
2090,-8605
2091,-8647
2092,-8690
2093,-8732
2094,-8774
2095,-8817
2096,-8859
2097,-8901
2098,-8943
2099,-8986
2100,-9028
2101,-9070
2102,-9112
2103,-9154
2104,-9196
2105,-9238
2106,-9280
2107,-9322
2108,-9364
2109,-9406
2110,-9448
2111,-9489
2112,-9531
2113,-9573
2114,-9615
2115,-9656
2116,-9698
2117,-9740
2118,-9781
2119,-9823
2120,-9864
2121,-9906
2122,-9947
2123,-9989
2124,-10030
2125,-10072
2126,-10113
2127,-10154
2128,-10195
2129,-10237
